,Player,HOF Probability,Inducted
83,Vada Pinson,46.9%,No
84,Sal Bando,46.4%,No
85,Harmon Killebrew HOF,45.0%,Yes
86,Yogi Berra HOF,43.0%,Yes
87,Darrell Evans,42.4%,No
88,Joe Mauer HOF,41.8%,Yes
89,César Cedeño,41.3%,No
90,Dwight Evans,41.1%,No
91,Joe Torre HOF,39.7%,Yes
92,Bobby Bonds,39.7%,No
93,Joe Gordon HOF,39.7%,Yes
94,Nomar Garciaparra,39.5%,No
95,Buddy Bell,39.0%,No
96,David Ortiz HOF,38.1%,Yes
97,Fred McGriff HOF,37.4%,Yes
98,Lou Whitaker,35.6%,No
99,Keith Hernandez,35.4%,No
100,Ted Simmons HOF,34.4%,Yes
101,Willie Stargell HOF,34.3%,Yes
102,Bernie Williams,34.0%,No
103,Tony Pérez HOF,33.6%,Yes
104,Dave Parker HOF,33.4%,Yes
105,Ralph Kiner HOF,33.4%,Yes
106,Willie Davis,33.2%,No
107,Lance Berkman,33.1%,No
108,John Olerud,33.1%,No
109,Miguel Tejada,30.4%,No
110,Jim Fregosi,30.3%,No
111,Jeff Kent HOF,29.6%,Yes
112,Minnie Miñoso HOF,28.5%,Yes
113,Bert Campaneris,27.2%,No
114,Robin Ventura,27.0%,No
115,Reggie Smith,26.3%,No
116,Luis Gonzalez,26.3%,No
117,Fred Lynn,26.3%,No
118,Jimmy Rollins,26.3%,No
119,Johnny Damon,26.1%,No
120,Ian Kinsler,25.6%,No
121,Larry Doby HOF,25.5%,Yes
122,David Wright,25.2%,No
123,Enos Slaughter HOF,24.9%,Yes
124,Mark Teixeira,24.4%,No
125,Jim Rice HOF,24.2%,Yes
126,Lou Brock HOF,23.8%,Yes
127,Brian Giles,23.7%,No
128,Dustin Pedroia,23.4%,No
129,Brett Butler,23.0%,No
130,Rusty Staub,22.3%,No
131,Troy Tulowitzki,22.1%,No
132,Ron Cey,21.6%,No
133,Carlos Delgado,21.2%,No
134,Chuck Knoblauch,21.0%,No
135,Kirby Puckett HOF,20.9%,Yes
136,Luis Aparicio HOF,20.8%,Yes
137,Dolph Camilli,20.6%,No
138,Willie Randolph,20.5%,No
139,Nellie Fox HOF,20.4%,Yes
140,Bobby Doerr HOF,20.2%,Yes
141,José Cruz,20.2%,No
142,Ben Zobrist,19.9%,No
143,Hanley Ramírez,19.7%,No
144,Will Clark,19.7%,No
145,Steve Finley,19.5%,No
146,José Bautista,19.0%,No
147,Bob Johnson,18.9%,No
148,Toby Harrah,17.8%,No
149,Chet Lemon,17.6%,No
150,Curtis Granderson,17.6%,No
151,Orlando Cepeda HOF,17.0%,Yes
152,George Foster,16.7%,No
153,Julio Franco,16.4%,No
154,Jorge Posada,16.3%,No
155,Tony Phillips,16.0%,No
156,Thurman Munson,15.7%,No
157,Bob Elliott,15.6%,No
158,Tony Oliva HOF,15.5%,Yes
159,Roy Campanella HOF,15.4%,Yes
160,Roy White,14.7%,No
161,Vern Stephens,14.7%,No
162,Devon White,14.7%,No
163,Albert Belle,14.4%,No
164,Matt Holliday,14.3%,No
165,Rocky Colavito,13.8%,No
166,Gene Tenace,13.3%,No
167,Adrián González,13.2%,No
168,Ellis Burks,13.1%,No
169,Torii Hunter,12.9%,No
170,Bill Freehan,12.7%,No
171,Don Mattingly,12.6%,No
172,Ken Singleton,12.5%,No
173,Gil Hodges HOF,12.4%,Yes
174,Norm Cash,12.1%,No
175,Willie Wilson,11.8%,No
176,Matt Williams,11.4%,No
177,Jay Bell,11.4%,No
178,Al Dark,11.3%,No
179,Jason Kendall,11.3%,No
180,Mike Cameron,10.9%,No
181,Omar Vizquel,10.9%,No
182,Víctor Martínez,10.6%,No
183,Amos Otis,10.6%,No
184,Harlond Clift,10.2%,No
185,Tony Fernández,10.0%,No
186,Darryl Strawberry,9.9%,No
187,Jack Clark,9.9%,No
188,José Reyes,9.6%,No
189,Dave Concepción,9.5%,No
190,Red Schoendienst HOF,9.5%,Yes
191,Phil Rizzuto HOF,9.1%,Yes
192,Shawn Green,8.9%,No
193,Aramis Ramírez,8.8%,No
194,Augie Galan,8.7%,No
195,Johnny Callison,8.6%,No
196,Eddie Stanky,8.6%,No
197,Magglio Ordóñez,8.6%,No
198,Felipe Alou,8.2%,No
199,José Canseco,7.9%,No
200,Mark Grace,7.9%,No
201,Lance Parrish,7.9%,No
202,Lonny Frey,7.5%,No
203,Troy Glaus,7.4%,No
204,Rafael Furcal,7.4%,No
205,Paul Blair,7.3%,No
206,Rico Petrocelli,7.3%,No
207,Al Oliver,7.2%,No
208,Tim Wallach,7.1%,No
209,Ray Lankford,7.0%,No
210,Andy Van Slyke,6.9%,No
211,Jim Gilliam,6.7%,No
212,Tim Salmon,6.7%,No
213,Bill Nicholson,6.6%,No
214,Brian Downing,6.6%,No
215,Brady Anderson,6.5%,No
216,Carl Crawford,6.5%,No
217,Maury Wills,6.4%,No
218,Boog Powell,6.4%,No
219,Eddie Yost,6.3%,No
220,Darrell Porter,6.2%,No
221,Plácido Polanco,6.1%,No
222,Steve Garvey,5.9%,No
223,Chili Davis,5.9%,No
224,Davey Lopes,5.8%,No
225,Johnny Pesky,5.6%,No
226,George Scott,5.5%,No
227,Alfonso Soriano,5.4%,No
228,Marquis Grissom,5.3%,No
229,J.D. Drew,5.2%,No
230,Cecil Cooper,5.1%,No
231,Jesse Barfield,5.0%,No
232,Bobby Bonilla,5.0%,No
233,Juan González,5.0%,No
234,Édgar Rentería,5.0%,No
235,Curt Flood,5.0%,No
236,Dick Groat,5.0%,No
237,Eric Davis,5.0%,No
238,Bobby Murcer,4.9%,No
239,Bill White,4.9%,No
240,Doug DeCinces,4.7%,No
241,Moisés Alou,4.7%,No
242,Andrés Galarraga,4.7%,No
243,Eric Chavez,4.7%,No
244,Lenny Dykstra,4.6%,No
245,Ken Caminiti,4.6%,No
246,Sid Gordon,4.6%,No
247,Paul O'Neill,4.6%,No
248,Frank Howard,4.5%,No
249,Pedro Guerrero,4.5%,No
250,Jim Sundberg,4.4%,No
251,Willie McGee,4.4%,No
252,Mickey Vernon,4.4%,No
253,Derrek Lee,4.3%,No
254,Russell Martin,4.2%,No
255,Kirk Gibson,4.2%,No
256,Gary Gaetti,4.2%,No
257,Roger Maris,4.2%,No
258,David Justice,4.1%,No
259,Mark Belanger,4.0%,No
260,Carney Lansford,3.9%,No
261,Dick McAuliffe,3.9%,No
262,Del Ennis,3.9%,No
263,Andy Pafko,3.9%,No
264,Garry Maddox,3.8%,No
265,Ray Durham,3.8%,No
266,Bill Madlock,3.8%,No
267,Harold Baines HOF,3.8%,Yes
268,Eddie Joost,3.6%,No
269,Don Buford,3.6%,No
270,Travis Fryman,3.4%,No
271,Gil McDougald,3.3%,No
272,Jeff Cirillo,3.3%,No
273,Jhonny Peralta,3.2%,No
274,Brian McCann,3.2%,No
275,Tommy Holmes,3.2%,No
276,Tommy Henrich,3.1%,No
277,Bob Allison,3.1%,No
278,George Kell HOF,3.1%,Yes
279,Greg Vaughn,3.0%,No
280,Kent Hrbek,3.0%,No
281,Reggie Sanders,3.0%,No
282,Johnny Logan,2.9%,No
